,id,blitz_games,blitz_rating,rapid_games,rapid_rating,bullet_games,bullet_rating,country
401,elek_lenard,401,1514,120,1404,4384,1409,RS
402,ikhsan2011,790,1449,274,1489,233,1410,KZ
403,sa7hvikh,734,1533,652,1760,730,1417,IN
404,happyharsh,762,1555,919,1760,314,1568,IN
405,snewbird,600,1450,643,1782,176,1119,BR
406,nikitosik1708,551,1465,384,1540,1216,1694,RU
407,usman_bhaijan,2784,1422,758,1587,224,1023,IN
408,genocidalpawn,565,1497,118,1791,707,1304,US
409,ashhad786,667,1598,912,1759,272,1397,IN
410,hurakun,1628,1569,270,1726,374,1315,FR
411,snezienka,978,1599,1176,1840,425,1384,SK
412,willeito,733,1420,297,1665,171,1172,US
413,riseblue2511,574,1544,398,1678,207,1010,IN
414,chessanitej16,208,1446,387,1639,149,1372,IN
415,thanhdat2010,454,1576,284,1697,293,1517,VN
416,inqalab_zindabad,3080,1594,1909,1849,854,1411,IN
417,grosdaedae,947,1498,458,1522,402,1420,FR
418,wariorl,544,1413,175,1446,821,1369,GR
419,zuruz,2185,1554,489,1551,918,1575,PL
420,thesnowcrow,1279,1525,185,1500,4322,1205,EE
421,anisslimani48,1941,1532,3255,1768,485,1305,TN
422,inspektor404,899,1443,544,1660,776,1498,DE
423,drsalibra,1312,1559,167,1784,3262,1426,SY
424,ssohua,1036,1596,253,1690,545,1560,IN
425,boramalivuk,6632,1447,1085,1690,455,1056,RS
426,ferocious_69,217,1444,220,1459,501,1414,IN
427,enadir,1416,1580,391,1701,459,1433,DZ
428,tushar10082020,147,1500,1444,1657,632,1280,NO
429,gez1988,2308,1525,1297,1777,5678,1514,HN
430,shailaj12,568,1456,551,1605,389,1359,IN
431,ayushchavali100,1170,1416,220,1254,2161,1433,UK
432,javidan7,1858,1596,665,1604,1455,1354,PL
433,sau6402,2058,1461,265,1671,250,1129,IN
434,acw420,3131,1482,185,1460,418,1178,AU
435,ahmed--nasr,3267,1468,588,1741,760,1154,TN
436,luislg,913,1570,259,1714,151,1376,CU
437,bosun1234,274,1475,458,1628,521,1478,US
438,vercingetorige,2385,1453,537,1429,219,1485,IT
439,nealsundar,503,1592,1507,1977,186,1528,US
440,jpeik,2247,1473,654,1574,622,1351,US
441,ryanm1078,392,1453,571,1617,187,1313,UK
442,epicalerick21,1323,1565,882,1796,349,1351,KP
443,crotoza,1062,1496,146,1632,288,1309,IN
444,professorsmith,569,1486,112,1613,794,1557,US
445,abusha2,1883,1433,491,1632,866,1203,ET
446,jul2020,233,1434,301,1623,185,1287,PS
447,larry-kasparov,1272,1508,140,1622,3082,1382,US
448,mohamedkhemkham,889,1573,503,1673,435,1213,DZ
449,shashwat2312,1434,1417,163,1583,191,1366,IN
450,striker450,2141,1553,673,1710,516,1210,IN
451,treasurelight,948,1559,134,1537,167,1191,UG
452,ruwenzori,4129,1473,664,1784,822,1188,PL
453,amarsar7,1927,1510,238,1607,4692,1259,IN
454,pawnedupkicks,869,1487,737,1700,200,1345,US
455,mayanksarvpriya2412,396,1502,207,1489,988,1465,IN
456,angelina_l,191,1508,279,1530,1588,1506,FR
457,learningchess786,5759,1487,5269,1702,912,1208,IN
458,alex3100,1448,1431,1208,1823,2272,1148,BG
459,matobali,1038,1536,1490,1853,1129,1214,CZ
460,maashkhan,550,1481,367,1675,700,1022,IN
461,matty1,2607,1517,772,1651,3532,1693,GB
462,steve4443,440,1415,631,1713,234,1116,NG
463,aiman11,5021,1553,206,1733,480,1436,BD
464,mord42,300,1507,2006,1571,779,1323,US
465,nimishbharadwaj,369,1419,591,1731,2347,1278,US
466,shoaibalam,2197,1436,914,1570,1259,1165,PK
467,aaditp2007,440,1594,1231,1713,792,1649,IN
468,heckm8,1204,1530,354,1590,199,1498,US
469,notapickle,1793,1402,144,1370,273,1541,AQ
470,darrensoh,787,1587,744,1605,282,1277,MY
471,akoko,2767,1501,1384,1826,345,1238,BA
472,josefkukla,189,1546,190,1629,189,1267,CZ
473,raichess,686,1502,649,1506,269,1323,TH
474,orlevy,4191,1498,207,1532,1364,1218,IL
475,danielesco,4842,1540,352,1590,241,1219,NL
476,goktugduyur,1199,1533,354,1455,431,1373,TR
477,lovemega,8102,1545,215,1635,334,1206,DZ
478,rafafugi,518,1584,159,1442,177,1306,BR
479,arixs,1456,1581,544,1595,481,1689,HR
480,sarma21,2745,1535,686,1576,244,1241,BD
481,essd8,149,1472,183,1601,435,1424,GR
482,stahious,690,1412,251,1655,345,1506,PL
483,ekumar73,123,1449,1021,1845,122,1184,IN
484,karthik_shinbukan,168,1429,320,1773,232,1245,IN
485,mattiatrucco,3275,1589,643,1835,240,1310,IT
486,mrv-13,563,1483,321,1865,437,1384,JO
487,damxo,2618,1573,205,1765,2219,1575,ET
488,akrauze,447,1470,1092,1643,820,1377,PL
